,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
87,1020,Geophysical,Volcanic activity,Paricutin,
88,1034,Geophysical,Volcanic activity,Unsendake,
89,1035,Meteorological,Storm,Makurazaki,
90,1036,Meteorological,Storm,Akune,
91,1044,Geophysical,Volcanic activity,Niuafo'ou,
92,1047,Meteorological,Storm,Catherine,
93,1056,Meteorological,Storm,Lone,
94,1063,Meteorological,Storm,Della,
95,1067,Meteorological,Storm,Rena,
96,1073,Meteorological,Storm,Jane,
97,1085,Meteorological,Storm,Charlie,
98,1086,Meteorological,Storm,Ruth,
99,1091,Geophysical,Volcanic activity,Hibok-Hibok,
