,CalenderId,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay
153,193,1949,12,17,1949,12,17
154,194,1949,5,1,1949,5,1
155,195,1949,7,1,1949,7,1
156,196,1949,1,1,1949,1,1
157,197,1949,8,1,1949,8,1
158,198,1949,10,1,1949,10,1
159,199,1949,10,27,1949,10,27
160,200,1950,8,15,1950,8,15
161,201,1950,9,1,1950,9,1
162,202,1950,11,1,1950,11,1
163,203,1950,5,5,1950,5,5
164,204,1950,8,14,1950,8,14
165,205,1950,7,8,1950,7,8
166,206,1950,4,1,1950,4,1
167,207,1950,7,11,1950,7,11
168,208,1950,9,12,1950,9,12
169,209,1950,6,1,1950,6,1
170,210,1951,5,1,1951,5,1
171,211,1951,2,1,1951,2,1
172,212,1951,8,28,1951,8,28
173,213,1951,1,4,1951,1,4
174,214,1951,1,1,1951,1,1
175,215,1952,12,1,1952,12,1
176,216,1952,9,1,1952,9,1
177,217,1952,1,28,1952,1,28
178,218,1952,8,15,1952,8,15
179,219,1952,12,4,1952,12,4
180,220,1952,10,27,1952,10,27
181,221,1952,11,26,1952,11,26
182,223,1953,5,6,1953,5,6
183,224,1953,9,10,1953,9,10
184,225,1953,8,12,1953,8,12
185,226,1953,1,31,1953,1,31
186,228,1953,12,6,1953,12,6
187,229,1953,7,1,1953,7,1
188,230,1953,3,1,1953,3,1
189,231,1953,10,1,1953,10,1
190,232,1953,2,1,1953,2,1
191,233,1953,6,1,1953,6,1
192,235,1954,9,9,1954,9,9
193,236,1954,6,10,1954,6,10
194,237,1954,12,30,1954,12,30
195,238,1954,1,11,1954,1,11
196,239,1954,1,12,1954,1,12
197,240,1954,10,5,1954,10,18
198,241,1954,7,1,1954,7,1
199,242,1954,8,1,1954,8,1
200,243,1954,7,12,1954,7,12
201,244,1954,12,1,1954,12,1
202,245,1954,3,1,1954,3,1
203,246,1954,4,30,1954,4,30
204,247,1954,10,22,1954,10,22
205,249,1954,1,1,1954,1,1
206,250,1954,2,1,1954,2,1
207,251,1955,9,28,1955,9,28
208,252,1955,1,2,1955,1,2
209,253,1955,2,1,1955,2,1
210,255,1955,9,22,1955,9,22
211,256,1955,11,12,1955,11,12
212,257,1955,4,14,1955,4,14
213,258,1955,9,12,1955,9,12
214,259,1955,4,1,1955,4,1
215,260,1955,11,28,1955,11,28
216,261,1955,12,1,1955,12,1
217,262,1956,7,9,1956,7,9
218,263,1956,6,10,1956,6,10
219,264,1956,7,1,1956,7,1
220,265,1956,5,29,1956,5,29
221,266,1956,3,1,1956,3,1
222,268,1956,8,1,1956,8,1
223,269,1956,1,1,1956,1,1
224,270,1956,4,19,1956,4,19
225,271,1956,8,11,1956,8,11
226,272,1956,12,1,1956,12,1
227,273,1956,7,21,1956,7,21
228,274,1956,10,1,1956,10,1
229,276,1956,8,1,1956,8,1
230,277,1956,9,9,1956,9,9
231,279,1957,12,1,1957,12,1
232,280,1957,7,1,1957,7,1
233,281,1957,10,1,1957,10,1
234,282,1957,9,20,1957,9,20
235,283,1957,9,9,1957,9,9
236,284,1957,9,1,1957,9,1
237,285,1957,11,1,1957,11,1
238,286,1958,7,1,1958,7,1
239,287,1958,5,1,1958,5,1
240,288,1958,10,20,1958,10,20
241,289,1958,9,1,1958,9,1
242,290,1958,1,7,1958,1,7
243,291,1958,9,30,1958,10,4
244,293,1958,6,1,1958,6,1
245,295,1958,10,16,1958,10,16
246,296,1958,11,15,1958,11,15
247,297,1959,7,1,1961,7,1
248,298,1959,8,1,1959,8,1
249,299,1959,9,1,1959,9,1
250,300,1959,2,16,1959,2,16
251,302,1959,8,20,1959,8,20
252,303,1959,6,1,1959,6,1
253,306,1959,4,1,1959,4,1
254,307,1959,7,4,1959,7,4
255,308,1959,7,1,1959,7,1
256,310,1960,5,22,1960,5,22
257,311,1960,9,4,1960,9,4
258,314,1960,10,9,1960,10,9
259,315,1960,10,30,1960,10,30
260,316,1960,1,1,1960,1,1
261,317,1960,2,21,1960,2,21
262,318,1960,6,4,1960,6,4
263,319,1960,1,1,1960,1,1
264,320,1960,5,6,1960,5,6
265,321,1961,5,9,1961,5,9
266,322,1961,5,30,1961,5,30
267,323,1961,3,1,1961,3,1
268,324,1961,10,30,1961,10,31
269,325,1961,1,1,1961,1,1
270,326,1961,6,2,1961,6,2
271,327,1961,6,1,1961,6,1
272,328,1961,11,1,1961,11,1
273,329,1961,9,9,1961,9,9
274,330,1961,4,24,1961,4,24
275,331,1961,10,1,1961,10,1
276,332,1961,12,1,1961,12,1
277,333,1962,3,18,1962,3,18
278,334,1962,10,12,1962,10,12
279,335,1962,7,30,1962,7,30
280,336,1962,8,1,1962,8,1
281,337,1962,2,1,1962,2,1
282,338,1962,9,27,1962,9,27
283,339,1962,11,1,1962,11,1
284,340,1962,8,28,1962,8,28
285,342,1963,4,1,1963,4,1
286,343,1963,1,1,1963,1,1
287,344,1963,5,28,1963,5,28
288,345,1963,10,1,1963,10,1
289,346,1963,7,1,1963,7,1
290,347,1963,10,8,1963,10,8
291,348,1963,3,18,1963,3,18
292,349,1963,10,4,1963,10,4
293,350,1963,9,25,1963,9,25
294,351,1963,10,2,1963,10,2
295,352,1963,12,1,1963,12,1
296,353,1963,9,30,1963,9,30
297,354,1963,10,4,1963,10,8
298,356,1963,11,14,1963,11,15
299,357,1963,1,3,1963,1,3
300,358,1963,5,1,1963,5,1
301,360,1964,8,1,1964,8,1
302,361,1964,2,18,1964,2,18
303,362,1964,4,12,1964,4,12
304,363,1964,7,1,1964,7,1
305,364,1964,1,1,1964,1,1
306,365,1964,4,1,1964,4,1
307,366,1964,7,5,1964,7,5
308,367,1964,3,2,1964,3,2
309,368,1964,9,5,1964,9,5
310,369,1964,8,1,1964,8,1
311,370,1964,8,24,1964,8,24
312,371,1964,3,1,1964,3,1
313,372,1964,3,22,1964,3,22
314,373,1964,8,22,1964,8,22
315,375,1964,10,12,1964,10,12
316,377,1964,12,17,1964,12,17
317,378,1964,7,1,1964,7,1
318,379,1965,1,24,1965,1,24
319,380,1965,1,1,1967,1,1
320,381,1965,8,16,1965,8,16
321,382,1965,5,11,1965,5,11
322,383,1965,6,1,1965,6,1
323,384,1965,12,15,1965,12,15
324,385,1965,12,17,1965,12,17
325,386,1965,9,9,1965,9,9
326,387,1965,12,22,1965,12,22
327,390,1965,7,1,1965,7,1
328,391,1965,2,18,1965,2,18
329,392,1965,8,30,1965,8,30
330,393,1965,3,28,1965,3,28
331,394,1965,2,1,1965,2,1
332,395,1965,7,1,1965,7,1
333,396,1965,8,1,1965,8,1
334,397,1965,3,1,1965,4,1
335,398,1965,11,27,1965,11,27
336,399,1965,4,19,1965,4,19
337,400,1965,1,1,1965,1,1
338,401,1965,4,1,1965,4,1
339,403,1965,2,7,1965,2,7
340,404,1965,3,9,1965,3,9
341,405,1965,9,26,1965,9,26
342,407,1965,6,1,1965,6,1
343,408,1965,9,24,1965,9,24
344,410,1966,1,1,1966,1,1
345,411,1966,2,28,1966,2,28
346,412,1966,1,1,1966,1,1
347,413,1966,9,26,1966,9,26
348,414,1966,7,1,1966,7,1
349,415,1966,10,1,1966,10,1
350,416,1966,6,1,1966,6,1
351,417,1966,10,3,1966,10,3
352,418,1966,9,1,1966,9,1
353,419,1966,2,1,1966,2,1
354,420,1966,6,29,1966,6,29
355,421,1966,1,11,1966,1,11
356,423,1966,5,21,1966,5,21
357,425,1966,3,1,1966,3,1
358,426,1966,3,4,1966,3,4
359,427,1966,12,28,1966,12,28
360,428,1966,9,30,1966,9,30
361,429,1966,9,29,1966,9,29
362,430,1966,10,6,1966,10,6
363,431,1966,5,15,1966,5,15
364,432,1966,10,21,1966,10,21
365,433,1966,9,27,1966,9,27
366,434,1966,2,5,1966,2,5
